day_start,crime_count
2025-01-01,87
2025-01-02,58
2025-01-03,20
2025-01-04,53
2025-01-05,106
2025-01-06,62
2025-01-07,33
2025-01-08,101
2025-01-09,78
2025-01-10,70
2025-01-11,116
2025-01-12,104
2025-01-13,40
2025-01-14,73
2025-01-15,93
2025-01-16,26
2025-01-17,92
2025-01-18,98
2025-01-19,104
2025-01-20,56
2025-01-21,108
2025-01-22,120
2025-01-23,56
2025-01-24,53
2025-01-25,108
2025-01-26,63
2025-01-27,98
2025-01-28,52
2025-01-29,103
2025-01-30,54
2025-01-31,89
2025-02-01,93
2025-02-02,61
2025-02-03,57
2025-02-04,39
2025-02-05,47
2025-02-06,39
2025-02-07,63
2025-02-08,106
2025-02-09,89
2025-02-10,59
2025-02-11,63
2025-02-12,44
2025-02-13,89
2025-02-14,58
2025-02-15,70
2025-02-16,61
2025-02-17,25
2025-02-18,43
2025-02-19,51
2025-02-20,33
2025-02-21,21
2025-02-22,64
2025-02-23,37
2025-02-24,41
2025-02-25,97
2025-02-26,84
2025-02-27,89
2025-02-28,106
2025-03-01,89
2025-03-02,94
2025-03-03,100
2025-03-04,119
2025-03-05,32
2025-03-06,59
2025-03-07,108
2025-03-08,67
2025-03-09,108
2025-03-10,42
2025-03-11,103
2025-03-12,48
2025-03-13,32
2025-03-14,41
2025-03-15,112
2025-03-16,47
2025-03-17,67
2025-03-18,52
2025-03-19,64
2025-03-20,40
2025-03-21,50
2025-03-22,36
2025-03-23,92
2025-03-24,106
2025-03-25,102
2025-03-26,109
2025-03-27,67
2025-03-28,83
2025-03-29,113
2025-03-30,115
2025-03-31,79
2025-04-01,70
2025-04-02,112
2025-04-03,53
2025-04-04,29
2025-04-05,20
2025-04-06,62
2025-04-07,78
2025-04-08,45
2025-04-09,34
2025-04-10,77
2025-04-11,48
2025-04-12,43
2025-04-13,61
2025-04-14,67
2025-04-15,95
2025-04-16,58
2025-04-17,43
2025-04-18,72
2025-04-19,111
2025-04-20,105
2025-04-21,59
2025-04-22,116
2025-04-23,102
2025-04-24,109
2025-04-25,54
2025-04-26,62
2025-04-27,20
2025-04-28,48
2025-04-29,97
2025-04-30,41
