month,aggravated_assault,month_as_yearmonth
2010-01-01,35,2010 Jan
2010-02-01,29,2010 Feb
2010-03-01,46,2010 Mar
2010-04-01,50,2010 Apr
2010-05-01,41,2010 May
2010-06-01,54,2010 Jun
2010-07-01,60,2010 Jul
2010-08-01,65,2010 Aug
2010-09-01,41,2010 Sep
2010-10-01,52,2010 Oct
2010-11-01,41,2010 Nov
2010-12-01,36,2010 Dec
2011-01-01,40,2011 Jan
2011-02-01,27,2011 Feb
2011-03-01,39,2011 Mar
2011-04-01,45,2011 Apr
2011-05-01,66,2011 May
2011-06-01,57,2011 Jun
2011-07-01,50,2011 Jul
2011-08-01,58,2011 Aug
2011-09-01,36,2011 Sep
2011-10-01,39,2011 Oct
2011-11-01,43,2011 Nov
2011-12-01,42,2011 Dec
2012-01-01,45,2012 Jan
2012-02-01,41,2012 Feb
2012-03-01,48,2012 Mar
2012-04-01,42,2012 Apr
2012-05-01,60,2012 May
2012-06-01,53,2012 Jun
2012-07-01,60,2012 Jul
2012-08-01,38,2012 Aug
2012-09-01,45,2012 Sep
2012-10-01,28,2012 Oct
2012-11-01,44,2012 Nov
2012-12-01,55,2012 Dec
2013-01-01,46,2013 Jan
2013-02-01,14,2013 Feb
2013-03-01,36,2013 Mar
2013-04-01,43,2013 Apr
2013-05-01,47,2013 May
2013-06-01,63,2013 Jun
2013-07-01,43,2013 Jul
2013-08-01,44,2013 Aug
2013-09-01,46,2013 Sep
2013-10-01,38,2013 Oct
2013-11-01,28,2013 Nov
2013-12-01,42,2013 Dec
2014-01-01,37,2014 Jan
2014-02-01,18,2014 Feb
2014-03-01,57,2014 Mar
2014-04-01,50,2014 Apr
2014-05-01,50,2014 May
2014-06-01,55,2014 Jun
2014-07-01,50,2014 Jul
2014-08-01,46,2014 Aug
2014-09-01,57,2014 Sep
2014-10-01,50,2014 Oct
2014-11-01,34,2014 Nov
2014-12-01,39,2014 Dec
2015-01-01,45,2015 Jan
2015-02-01,27,2015 Feb
2015-03-01,41,2015 Mar
2015-04-01,54,2015 Apr
2015-05-01,54,2015 May
2015-06-01,64,2015 Jun
2015-07-01,51,2015 Jul
2015-08-01,60,2015 Aug
2015-09-01,51,2015 Sep
2015-10-01,52,2015 Oct
2015-11-01,40,2015 Nov
2015-12-01,35,2015 Dec
2016-01-01,43,2016 Jan
2016-02-01,49,2016 Feb
2016-03-01,47,2016 Mar
2016-04-01,59,2016 Apr
2016-05-01,74,2016 May
2016-06-01,55,2016 Jun
2016-07-01,52,2016 Jul
2016-08-01,45,2016 Aug
2016-09-01,53,2016 Sep
2016-10-01,63,2016 Oct
2016-11-01,33,2016 Nov
2016-12-01,57,2016 Dec
2017-01-01,46,2017 Jan
2017-02-01,39,2017 Feb
2017-03-01,59,2017 Mar
2017-04-01,55,2017 Apr
2017-05-01,50,2017 May
2017-06-01,55,2017 Jun
2017-07-01,53,2017 Jul
2017-08-01,49,2017 Aug
2017-09-01,44,2017 Sep
2017-10-01,57,2017 Oct
2017-11-01,49,2017 Nov
2017-12-01,36,2017 Dec
2018-01-01,41,2018 Jan
2018-02-01,38,2018 Feb
2018-03-01,39,2018 Mar
2018-04-01,53,2018 Apr
2018-05-01,47,2018 May
2018-06-01,51,2018 Jun
2018-07-01,46,2018 Jul
2018-08-01,44,2018 Aug
2018-09-01,64,2018 Sep
2018-10-01,42,2018 Oct
2018-11-01,47,2018 Nov
2018-12-01,41,2018 Dec
2019-01-01,33,2019 Jan
2019-02-01,31,2019 Feb
2019-03-01,42,2019 Mar
2019-04-01,44,2019 Apr
2019-05-01,54,2019 May
2019-06-01,60,2019 Jun
2019-07-01,71,2019 Jul
2019-08-01,92,2019 Aug
2019-09-01,100,2019 Sep
2019-10-01,94,2019 Oct
2019-11-01,70,2019 Nov
2019-12-01,107,2019 Dec
