week,criminal_damage,week_as_week
2010-01-03,61,2009 W53
2010-01-10,62,2010 W01
2010-01-17,63,2010 W02
2010-01-24,56,2010 W03
2010-01-31,54,2010 W04
2010-02-07,48,2010 W05
2010-02-14,58,2010 W06
2010-02-21,93,2010 W07
2010-02-28,70,2010 W08
2010-03-07,63,2010 W09
2010-03-14,84,2010 W10
2010-03-21,90,2010 W11
2010-03-28,71,2010 W12
2010-04-04,67,2010 W13
2010-04-11,85,2010 W14
2010-04-18,73,2010 W15
2010-04-25,56,2010 W16
2010-05-02,73,2010 W17
2010-05-09,84,2010 W18
2010-05-16,75,2010 W19
2010-05-23,82,2010 W20
2010-05-30,82,2010 W21
2010-06-06,82,2010 W22
2010-06-13,78,2010 W23
2010-06-20,74,2010 W24
2010-06-27,101,2010 W25
2010-07-04,101,2010 W26
2010-07-11,67,2010 W27
2010-07-18,91,2010 W28
2010-07-25,91,2010 W29
2010-08-01,83,2010 W30
2010-08-08,73,2010 W31
2010-08-15,62,2010 W32
2010-08-22,111,2010 W33
2010-08-29,78,2010 W34
2010-09-05,82,2010 W35
2010-09-12,81,2010 W36
2010-09-19,103,2010 W37
2010-09-26,65,2010 W38
2010-10-03,60,2010 W39
2010-10-10,70,2010 W40
2010-10-17,70,2010 W41
2010-10-24,78,2010 W42
2010-10-31,81,2010 W43
2010-11-07,73,2010 W44
2010-11-14,73,2010 W45
2010-11-21,68,2010 W46
2010-11-28,67,2010 W47
2010-12-05,49,2010 W48
2010-12-12,46,2010 W49
2010-12-19,59,2010 W50
2010-12-26,84,2010 W51
2011-01-02,61,2010 W52
2011-01-09,51,2011 W01
2011-01-16,80,2011 W02
2011-01-23,60,2011 W03
2011-01-30,48,2011 W04
2011-02-06,52,2011 W05
2011-02-13,51,2011 W06
2011-02-20,59,2011 W07
2011-02-27,67,2011 W08
2011-03-06,68,2011 W09
2011-03-13,72,2011 W10
2011-03-20,61,2011 W11
2011-03-27,80,2011 W12
2011-04-03,100,2011 W13
2011-04-10,80,2011 W14
2011-04-17,75,2011 W15
2011-04-24,69,2011 W16
2011-05-01,88,2011 W17
2011-05-08,76,2011 W18
2011-05-15,75,2011 W19
2011-05-22,58,2011 W20
2011-05-29,85,2011 W21
2011-06-05,87,2011 W22
2011-06-12,88,2011 W23
2011-06-19,62,2011 W24
2011-06-26,80,2011 W25
2011-07-03,83,2011 W26
2011-07-10,80,2011 W27
2011-07-17,94,2011 W28
2011-07-24,101,2011 W29
2011-07-31,75,2011 W30
2011-08-07,81,2011 W31
2011-08-14,64,2011 W32
2011-08-21,67,2011 W33
2011-08-28,76,2011 W34
2011-09-04,61,2011 W35
2011-09-11,77,2011 W36
2011-09-18,65,2011 W37
2011-09-25,68,2011 W38
2011-10-02,76,2011 W39
2011-10-09,61,2011 W40
2011-10-16,64,2011 W41
2011-10-23,67,2011 W42
2011-10-30,72,2011 W43
2011-11-06,71,2011 W44
2011-11-13,64,2011 W45
2011-11-20,58,2011 W46
2011-11-27,75,2011 W47
2011-12-04,45,2011 W48
2011-12-11,57,2011 W49
2011-12-18,59,2011 W50
2011-12-25,57,2011 W51
2012-01-01,67,2011 W52
2012-01-08,58,2012 W01
2012-01-15,69,2012 W02
2012-01-22,64,2012 W03
2012-01-29,52,2012 W04
2012-02-05,54,2012 W05
2012-02-12,48,2012 W06
2012-02-19,63,2012 W07
2012-02-26,68,2012 W08
2012-03-04,62,2012 W09
2012-03-11,67,2012 W10
2012-03-18,101,2012 W11
2012-03-25,66,2012 W12
2012-04-01,57,2012 W13
2012-04-08,68,2012 W14
2012-04-15,62,2012 W15
2012-04-22,83,2012 W16
2012-04-29,95,2012 W17
2012-05-06,61,2012 W18
2012-05-13,68,2012 W19
2012-05-20,69,2012 W20
2012-05-27,69,2012 W21
2012-06-03,74,2012 W22
2012-06-10,69,2012 W23
2012-06-17,60,2012 W24
2012-06-24,69,2012 W25
2012-07-01,73,2012 W26
2012-07-08,55,2012 W27
2012-07-15,87,2012 W28
2012-07-22,51,2012 W29
2012-07-29,66,2012 W30
2012-08-05,64,2012 W31
2012-08-12,77,2012 W32
2012-08-19,57,2012 W33
2012-08-26,60,2012 W34
2012-09-02,59,2012 W35
2012-09-09,59,2012 W36
2012-09-16,44,2012 W37
2012-09-23,76,2012 W38
2012-09-30,64,2012 W39
2012-10-07,86,2012 W40
2012-10-14,72,2012 W41
2012-10-21,66,2012 W42
2012-10-28,58,2012 W43
2012-11-04,56,2012 W44
2012-11-11,61,2012 W45
2012-11-18,62,2012 W46
2012-11-25,56,2012 W47
2012-12-02,52,2012 W48
2012-12-09,64,2012 W49
2012-12-16,73,2012 W50
2012-12-23,44,2012 W51
2012-12-30,63,2012 W52
2013-01-06,57,2013 W01
2013-01-13,45,2013 W02
2013-01-20,37,2013 W03
2013-01-27,58,2013 W04
2013-02-03,39,2013 W05
2013-02-10,57,2013 W06
2013-02-17,50,2013 W07
2013-02-24,56,2013 W08
2013-03-03,65,2013 W09
2013-03-10,45,2013 W10
2013-03-17,66,2013 W11
2013-03-24,60,2013 W12
2013-03-31,70,2013 W13
2013-04-07,70,2013 W14
2013-04-14,62,2013 W15
2013-04-21,48,2013 W16
2013-04-28,58,2013 W17
2013-05-05,45,2013 W18
2013-05-12,55,2013 W19
2013-05-19,71,2013 W20
2013-05-26,63,2013 W21
2013-06-02,74,2013 W22
2013-06-09,61,2013 W23
