week,criminal_damage
2010-01-03,61
2010-01-10,62
2010-01-17,63
2010-01-24,56
2010-01-31,54
2010-02-07,48
2010-02-14,58
2010-02-21,93
2010-02-28,70
2010-03-07,63
2010-03-14,84
2010-03-21,90
2010-03-28,71
2010-04-04,67
2010-04-11,85
2010-04-18,73
2010-04-25,56
2010-05-02,73
2010-05-09,84
2010-05-16,75
2010-05-23,82
2010-05-30,82
2010-06-06,82
2010-06-13,78
2010-06-20,74
2010-06-27,101
2010-07-04,101
2010-07-11,67
2010-07-18,91
2010-07-25,91
2010-08-01,83
2010-08-08,73
2010-08-15,62
2010-08-22,111
2010-08-29,78
2010-09-05,82
2010-09-12,81
2010-09-19,103
2010-09-26,65
2010-10-03,60
2010-10-10,70
2010-10-17,70
2010-10-24,78
2010-10-31,81
2010-11-07,73
2010-11-14,73
2010-11-21,68
2010-11-28,67
2010-12-05,49
2010-12-12,46
2010-12-19,59
2010-12-26,84
2011-01-02,61
2011-01-09,51
2011-01-16,80
2011-01-23,60
2011-01-30,48
2011-02-06,52
2011-02-13,51
2011-02-20,59
2011-02-27,67
2011-03-06,68
2011-03-13,72
2011-03-20,61
2011-03-27,80
2011-04-03,100
2011-04-10,80
2011-04-17,75
2011-04-24,69
2011-05-01,88
2011-05-08,76
2011-05-15,75
2011-05-22,58
2011-05-29,85
2011-06-05,87
2011-06-12,88
2011-06-19,62
2011-06-26,80
2011-07-03,83
2011-07-10,80
2011-07-17,94
2011-07-24,101
2011-07-31,75
2011-08-07,81
2011-08-14,64
2011-08-21,67
2011-08-28,76
2011-09-04,61
2011-09-11,77
2011-09-18,65
2011-09-25,68
2011-10-02,76
2011-10-09,61
2011-10-16,64
2011-10-23,67
2011-10-30,72
2011-11-06,71
2011-11-13,64
2011-11-20,58
2011-11-27,75
2011-12-04,45
2011-12-11,57
2011-12-18,59
2011-12-25,57
2012-01-01,67
2012-01-08,58
2012-01-15,69
2012-01-22,64
2012-01-29,52
2012-02-05,54
2012-02-12,48
2012-02-19,63
2012-02-26,68
2012-03-04,62
2012-03-11,67
2012-03-18,101
2012-03-25,66
2012-04-01,57
2012-04-08,68
2012-04-15,62
2012-04-22,83
2012-04-29,95
2012-05-06,61
2012-05-13,68
2012-05-20,69
2012-05-27,69
2012-06-03,74
2012-06-10,69
2012-06-17,60
2012-06-24,69
2012-07-01,73
2012-07-08,55
2012-07-15,87
2012-07-22,51
2012-07-29,66
2012-08-05,64
2012-08-12,77
2012-08-19,57
2012-08-26,60
2012-09-02,59
2012-09-09,59
2012-09-16,44
2012-09-23,76
2012-09-30,64
2012-10-07,86
2012-10-14,72
2012-10-21,66
2012-10-28,58
2012-11-04,56
2012-11-11,61
2012-11-18,62
2012-11-25,56
2012-12-02,52
2012-12-09,64
2012-12-16,73
2012-12-23,44
2012-12-30,63
2013-01-06,57
2013-01-13,45
2013-01-20,37
2013-01-27,58
2013-02-03,39
2013-02-10,57
2013-02-17,50
2013-02-24,56
2013-03-03,65
2013-03-10,45
2013-03-17,66
2013-03-24,60
2013-03-31,70
2013-04-07,70
2013-04-14,62
2013-04-21,48
2013-04-28,58
2013-05-05,45
2013-05-12,55
2013-05-19,71
2013-05-26,63
2013-06-02,74
2013-06-09,61
2013-06-16,73
2013-06-23,63
2013-06-30,75
2013-07-07,61
2013-07-14,69
2013-07-21,82
2013-07-28,70
2013-08-04,73
2013-08-11,74
2013-08-18,77
2013-08-25,84
2013-09-01,60
2013-09-08,61
2013-09-15,75
2013-09-22,73
2013-09-29,55
2013-10-06,64
2013-10-13,73
2013-10-20,64
2013-10-27,74
2013-11-03,56
2013-11-10,48
2013-11-17,65
2013-11-24,57
2013-12-01,50
2013-12-08,43
2013-12-15,75
2013-12-22,47
2013-12-29,68
2014-01-05,53
2014-01-12,58
2014-01-19,52
2014-01-26,52
2014-02-02,42
2014-02-09,45
2014-02-16,60
2014-02-23,45
2014-03-02,48
2014-03-09,57
2014-03-16,76
2014-03-23,60
2014-03-30,64
2014-04-06,45
2014-04-13,73
2014-04-20,72
2014-04-27,76
2014-05-04,89
2014-05-11,69
2014-05-18,62
2014-05-25,75
2014-06-01,61
2014-06-08,80
2014-06-15,73
2014-06-22,76
2014-06-29,84
2014-07-06,58
2014-07-13,75
2014-07-20,84
2014-07-27,73
2014-08-03,78
2014-08-10,89
2014-08-17,72
2014-08-24,60
2014-08-31,52
2014-09-07,59
2014-09-14,71
2014-09-21,68
2014-09-28,45
2014-10-05,56
2014-10-12,71
2014-10-19,65
2014-10-26,61
2014-11-02,61
2014-11-09,62
2014-11-16,50
2014-11-23,55
2014-11-30,39
2014-12-07,39
2014-12-14,52
2014-12-21,63
2014-12-28,76
2015-01-04,43
2015-01-11,49
2015-01-18,80
2015-01-25,55
2015-02-01,66
2015-02-08,48
2015-02-15,26
2015-02-22,36
2015-03-01,48
2015-03-08,49
2015-03-15,92
2015-03-22,50
2015-03-29,44
2015-04-05,59
2015-04-12,58
2015-04-19,61
2015-04-26,68
2015-05-03,75
2015-05-10,72
2015-05-17,79
2015-05-24,68
2015-05-31,71
2015-06-07,81
2015-06-14,70
2015-06-21,71
2015-06-28,73
2015-07-05,72
2015-07-12,72
2015-07-19,79
2015-07-26,93
2015-08-02,64
2015-08-09,47
2015-08-16,59
2015-08-23,52
2015-08-30,63
2015-09-06,54
2015-09-13,72
2015-09-20,74
2015-09-27,73
2015-10-04,64
2015-10-11,49
2015-10-18,76
2015-10-25,62
2015-11-01,66
2015-11-08,57
2015-11-15,53
2015-11-22,79
2015-11-29,50
2015-12-06,80
2015-12-13,71
2015-12-20,40
2015-12-27,72
2016-01-03,65
2016-01-10,63
2016-01-17,48
2016-01-24,62
2016-01-31,69
2016-02-07,44
2016-02-14,63
2016-02-21,79
2016-02-28,77
2016-03-06,68
2016-03-13,67
2016-03-20,79
2016-03-27,67
2016-04-03,72
2016-04-10,64
2016-04-17,72
2016-04-24,68
2016-05-01,70
2016-05-08,68
2016-05-15,79
2016-05-22,84
2016-05-29,79
2016-06-05,71
2016-06-12,67
2016-06-19,74
2016-06-26,104
2016-07-03,74
2016-07-10,87
2016-07-17,83
2016-07-24,61
2016-07-31,74
2016-08-07,69
2016-08-14,82
2016-08-21,79
2016-08-28,64
2016-09-04,61
2016-09-11,63
2016-09-18,75
2016-09-25,72
2016-10-02,80
2016-10-09,77
2016-10-16,86
2016-10-23,55
2016-10-30,62
2016-11-06,69
2016-11-13,45
2016-11-20,82
2016-11-27,72
2016-12-04,79
2016-12-11,67
2016-12-18,66
2016-12-25,73
2017-01-01,66
2017-01-08,56
2017-01-15,77
2017-01-22,61
2017-01-29,69
2017-02-05,57
2017-02-12,68
2017-02-19,70
2017-02-26,55
2017-03-05,57
2017-03-12,51
2017-03-19,73
2017-03-26,68
2017-04-02,69
2017-04-09,65
2017-04-16,63
2017-04-23,55
2017-04-30,74
2017-05-07,88
2017-05-14,74
2017-05-21,66
2017-05-28,71
2017-06-04,63
2017-06-11,74
2017-06-18,76
2017-06-25,69
2017-07-02,81
2017-07-09,77
2017-07-16,82
2017-07-23,83
2017-07-30,77
2017-08-06,75
2017-08-13,85
2017-08-20,61
2017-08-27,58
2017-09-03,62
2017-09-10,55
2017-09-17,69
2017-09-24,66
2017-10-01,72
2017-10-08,57
2017-10-15,59
2017-10-22,102
2017-10-29,63
2017-11-05,60
2017-11-12,29
2017-11-19,52
2017-11-26,67
2017-12-03,50
2017-12-10,44
2017-12-17,71
2017-12-24,50
2017-12-31,80
2018-01-07,46
2018-01-14,63
2018-01-21,77
2018-01-28,48
2018-02-04,49
2018-02-11,58
2018-02-18,58
2018-02-25,53
2018-03-04,57
2018-03-11,58
2018-03-18,46
2018-03-25,52
2018-04-01,57
2018-04-08,84
2018-04-15,75
2018-04-22,76
2018-04-29,62
2018-05-06,70
2018-05-13,70
2018-05-20,75
2018-05-27,69
2018-06-03,67
2018-06-10,75
2018-06-17,50
2018-06-24,68
2018-07-01,77
2018-07-08,86
2018-07-15,64
2018-07-22,66
2018-07-29,80
2018-08-05,68
2018-08-12,69
2018-08-19,58
2018-08-26,70
2018-09-02,72
2018-09-09,65
2018-09-16,63
2018-09-23,53
2018-09-30,72
2018-10-07,50
2018-10-14,59
2018-10-21,75
2018-10-28,60
2018-11-04,72
2018-11-11,48
2018-11-18,60
2018-11-25,65
2018-12-02,63
2018-12-09,52
2018-12-16,65
2018-12-23,49
2018-12-30,70
2019-01-06,57
2019-01-13,55
2019-01-20,50
2019-01-27,53
2019-02-03,58
2019-02-10,44
2019-02-17,44
2019-02-24,48
2019-03-03,65
2019-03-10,56
2019-03-17,46
2019-03-24,70
2019-03-31,55
2019-04-07,74
2019-04-14,47
2019-04-21,67
2019-04-28,61
2019-05-05,57
2019-05-12,85
2019-05-19,82
2019-05-26,83
2019-06-02,70
2019-06-09,91
2019-06-16,78
2019-06-23,66
2019-06-30,75
2019-07-07,84
2019-07-14,76
2019-07-21,61
2019-07-28,78
2019-08-04,61
2019-08-11,64
2019-08-18,71
2019-08-25,64
2019-09-01,48
2019-09-08,54
2019-09-15,49
2019-09-22,65
2019-09-29,70
2019-10-06,56
2019-10-13,67
2019-10-20,61
2019-10-27,64
2019-11-03,54
2019-11-10,56
2019-11-17,51
2019-11-24,69
2019-12-01,44
2019-12-08,48
2019-12-15,55
2019-12-22,59
