week_start,robbery_count
2024-01-01,64
2024-01-08,60
2024-01-15,66
2024-01-22,68
2024-01-29,56
2024-02-05,54
2024-02-12,49
2024-02-19,45
2024-02-26,49
2024-03-04,51
2024-03-11,54
2024-03-18,57
2024-03-25,52
2024-04-01,68
2024-04-08,60
2024-04-15,65
2024-04-22,62
2024-04-29,62
2024-05-06,60
2024-05-13,56
2024-05-20,52
2024-05-27,50
2024-06-03,47
2024-06-10,49
2024-06-17,47
2024-06-24,56
2024-07-01,59
2024-07-08,75
2024-07-15,60
2024-07-22,66
2024-07-29,57
2024-08-05,54
2024-08-12,57
2024-08-19,49
2024-08-26,51
2024-09-02,49
2024-09-09,50
2024-09-16,47
2024-09-23,54
2024-09-30,63
2024-10-07,68
2024-10-14,65
2024-10-21,67
2024-10-28,69
2024-11-04,67
2024-11-11,53
2024-11-18,54
2024-11-25,57
2024-12-02,50
2024-12-09,53
2024-12-16,56
2024-12-23,57
2024-12-30,62
2025-01-06,67
2025-01-13,67
2025-01-20,73
2025-01-27,64
2025-02-03,61
2025-02-10,62
2025-02-17,51
2025-02-24,53
2025-03-03,47
2025-03-10,59
2025-03-17,57
2025-03-24,60
2025-03-31,60
2025-04-07,68
2025-04-14,67
2025-04-21,67
2025-04-28,72
2025-05-05,63
2025-05-12,56
2025-05-19,58
2025-05-26,53
2025-06-02,57
2025-06-09,62
2025-06-16,55
2025-06-23,65
2025-06-30,67
2025-07-07,73
